Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48, ,OBPM,DBPM,BPM,VORP
Earl Boykins,PG,24,LAC,10,0,149,25,63,.397,1,8,.125,24,55,.436,.405,14,17,.824,4,7,11,32,5,0,9,9,65,17.2,.461,.127,.270,3.2,5.2,4.2,38.7,1.8,0.0,11.3,24.7,,0.2,0.1,0.3,.089,,1.3,-1.1,0.2,0.1
Shawn Bradley,C,28,DAL,82,35,2001,219,447,.490,1,6,.167,218,441,.494,.491,140,178,.787,160,448,608,38,36,228,88,256,579,16.2,.551,.013,.398,9.2,24.4,17.0,2.8,0.9,8.1,14.3,13.9,,2.5,3.8,6.3,.151,,-1.0,2.5,1.6,1.8
Elton Brand,PF,21,CHI,74,74,2906,578,1215,.476,0,2,.000,578,1213,.477,.476,334,472,.708,285,461,746,240,71,118,219,243,1490,20.4,.524,.002,.388,11.2,19.6,15.2,17.0,1.3,3.0,13.3,26.3,,4.1,2.0,6.1,.101,,2.2,-1.2,1.1,2.2
Terrell Brandon,PG,30,MIN,78,78,2821,511,1134,.451,33,91,.363,478,1043,.458,.465,195,224,.871,60,238,298,583,161,21,155,138,1250,20.0,.507,.080,.198,2.4,9.7,6.0,33.7,3.0,0.5,11.2,22.2,,5.8,2.7,8.5,.145,,2.6,0.5,3.1,3.6
Chucky Brown,SF,32,TOT,26,2,339,40,95,.421,0,3,.000,40,92,.435,.421,22,34,.647,8,46,54,11,9,7,8,37,102,9.7,.464,.032,.358,2.6,15.7,9.0,5.3,1.4,1.5,6.8,15.5,,0.1,0.2,0.4,.050,,-2.9,-0.5,-3.5,-0.1
Dee Brown,PG,32,ORL,7,0,155,16,44,.364,12,32,.375,4,12,.333,.500,4,5,.800,0,11,11,12,4,0,7,10,48,9.0,.519,.727,.114,0.0,8.1,3.9,11.9,1.3,0.0,13.2,15.2,,0.1,0.1,0.2,.059,,-1.4,-1.0,-2.4,0.0
P.J. Brown,C,31,CHH,80,79,2811,249,561,.444,0,4,.000,249,557,.447,.444,178,209,.852,257,485,742,127,78,92,108,260,676,13.3,.518,.007,.373,10.5,19.6,15.1,7.3,1.5,2.4,14.2,12.5,,3.4,4.7,8.0,.137,,-1.3,0.9,-0.4,1.1
Randy Brown,PG,32,BOS,54,35,1238,100,237,.422,0,3,.000,100,234,.427,.422,23,40,.575,23,76,99,154,62,10,56,132,223,8.2,.438,.013,.169,2.1,7.5,4.7,20.1,2.6,0.6,18.0,11.4,,-0.1,1.0,0.9,.034,,-4.2,1.1,-3.1,-0.3
Rick Brunson,PG,28,TOT,22,0,208,18,54,.333,2,14,.143,16,40,.400,.352,8,15,.533,5,16,21,31,8,1,17,21,46,6.3,.380,.259,.278,2.9,9.2,6.0,24.2,2.0,0.4,21.9,17.4,,-0.4,0.2,-0.2,-0.039,,-4.9,-0.2,-5.1,-0.2
Kobe Bryant,SG,22,LAL,68,68,2783,701,1510,.464,61,200,.305,640,1310,.489,.484,475,557,.853,104,295,399,338,114,43,220,222,1938,24.5,.552,.132,.369,4.3,11.8,8.1,23.0,2.1,1.1,11.1,31.8,,9.2,2.2,11.3,.196,,5.1,-0.3,4.8,4.7
Mark Bryant,PF,35,DAL,18,1,101,8,20,.400,0,0,,8,20,.400,.400,3,5,.600,4,17,21,3,1,2,5,29,19,2.1,.428,.000,.250,4.5,18.3,11.6,4.2,0.5,1.4,18.4,12.2,,-0.1,0.1,0.0,.005,,-9.0,-0.2,-9.2,-0.2
Greg Buckner,SG,24,DAL,37,9,820,84,192,.438,2,7,.286,82,185,.443,.443,59,81,.728,60,97,157,49,33,9,27,118,229,12.1,.503,.036,.422,8.4,12.9,10.7,8.8,2.1,0.8,10.6,14.1,,1.1,0.9,2.0,.118,,-1.2,0.7,-0.5,0.3
Jud Buechler,SF,32,DET,57,3,737,76,164,.463,32,77,.416,44,87,.506,.561,9,12,.750,20,74,94,39,21,10,25,83,193,9.9,.570,.470,.073,2.9,11.0,6.8,8.4,1.4,1.0,12.9,11.4,,0.8,0.7,1.5,.098,,-1.8,0.9,-0.9,0.2
Rodney Buford,SF,23,PHI,47,0,573,104,241,.432,16,38,.421,88,203,.433,.465,24,29,.828,16,58,74,17,17,6,29,68,248,11.3,.489,.158,.120,3.2,11.2,7.3,5.4,1.6,0.8,10.3,22.3,,0.1,0.7,0.8,.071,,-2.5,-0.5,-2.9,-0.1
Matt Bullard,PF,33,HOU,61,5,1000,129,305,.423,86,213,.404,43,92,.467,.564,10,14,.714,22,108,130,42,10,9,12,76,354,13.0,.569,.698,.046,2.6,12.2,7.5,6.9,0.5,0.6,3.7,14.9,,2.2,0.4,2.6,.125,,2.5,-1.0,1.5,0.9
Scott Burrell,SF,30,CHH,4,0,41,7,15,.467,2,6,.333,5,9,.556,.533,1,4,.250,1,2,3,1,3,0,0,8,17,12.8,.507,.400,.267,2.8,5.5,4.2,4.6,3.9,0.0,0.0,18.8,,0.1,0.1,0.1,.135,,-2.5,2.2,-0.2,0.0
Jason Caffey,PF,27,MIL,70,33,1460,179,367,.488,0,0,,179,367,.488,.488,142,211,.673,135,218,353,53,38,25,77,184,500,13.7,.544,.000,.575,10.6,16.8,13.7,5.5,1.4,1.3,14.3,16.6,,2.3,1.2,3.5,.114,,-1.2,-1.0,-2.2,-0.1
Marcus Camby,C,26,NYK,63,63,2127,304,580,.524,1,8,.125,303,572,.530,.525,150,225,.667,196,527,723,52,66,136,63,205,759,20.9,.559,.014,.388,11.5,29.0,20.5,4.5,1.7,5.2,8.5,17.0,,4.8,5.5,10.3,.233,,2.0,2.5,4.6,3.5
Elden Campbell,PF,32,CHH,78,78,2337,367,834,.440,0,6,.000,367,828,.443,.440,288,406,.709,157,451,608,104,60,140,144,280,1022,16.4,.505,.007,.487,7.7,21.9,14.8,8.1,1.4,4.4,12.4,22.8,,1.9,4.5,6.4,.131,,-1.5,1.1,-0.4,1.0
Brian Cardinal,PF,23,DET,15,0,126,10,31,.323,0,5,.000,10,26,.385,.323,11,18,.611,8,15,23,3,7,2,9,27,31,4.7,.398,.161,.581,6.7,13.0,9.8,3.6,2.8,1.1,18.8,16.5,,-0.2,0.2,0.0,-0.009,,-7.7,1.4,-6.3,-0.1
Chris Carr,SG,26,BOS,35,0,309,53,112,.473,17,37,.459,36,75,.480,.549,46,60,.767,11,33,44,11,4,3,19,45,169,16.3,.611,.330,.536,4.0,13.0,8.3,6.7,0.7,0.7,12.1,23.1,,0.8,0.2,0.9,.142,,0.6,-1.9,-1.3,0.1
Anthony Carter,PG,25,MIA,72,6,1630,195,480,.406,6,40,.150,189,440,.430,.413,65,103,.631,46,134,180,268,73,10,119,154,461,11.3,.439,.083,.215,3.4,9.8,6.6,29.5,2.5,0.5,18.5,19.2,,-0.8,2.5,1.7,.050,,-3.0,1.1,-1.9,0.0
Vince Carter,SF,24,TOR,75,75,2979,762,1656,.460,162,397,.408,600,1259,.477,.509,384,502,.765,176,240,416,291,114,82,167,205,2070,25.0,.551,.240,.303,6.5,9.3,7.9,19.2,2.0,1.9,8.2,30.7,,10.3,2.6,12.9,.208,,7.6,0.1,7.6,7.2
Sam Cassell,PG,31,MIL,76,75,2709,537,1132,.474,30,98,.306,507,1034,.490,.488,277,323,.858,46,244,290,580,88,8,220,214,1381,20.1,.542,.087,.285,1.9,10.1,6.1,36.4,1.7,0.2,14.7,24.9,,7.0,1.4,8.5,.150,,2.5,-1.5,1.1,2.1
Kelvin Cato,C,26,HOU,35,13,624,64,111,.577,0,0,,64,111,.577,.577,37,57,.649,47,94,141,11,13,31,25,89,165,13.0,.606,.000,.514,8.9,17.0,13.1,2.8,1.1,3.4,15.5,11.9,,1.0,0.7,1.7,.128,,-2.0,0.8,-1.2,0.1
Duane Causwell,C,32,MIA,31,14,384,32,85,.376,0,0,,32,85,.376,.376,12,25,.480,23,60,83,5,8,18,23,67,76,4.8,.396,.000,.294,7.1,18.6,12.8,2.2,1.1,3.6,19.3,15.0,,-0.7,0.7,0.0,.002,,-7.5,0.8,-6.7,-0.5
Cedric Ceballos,SF,31,TOT,40,0,559,101,229,.441,22,73,.301,79,156,.506,.489,37,43,.860,34,72,106,20,16,7,32,61,261,15.4,.526,.319,.188,7.1,15.0,11.0,6.9,1.5,0.9,11.4,23.5,,0.5,0.8,1.3,.114,,0.0,-0.5,-0.5,0.2
Calbert Cheaney,SG,29,DEN,9,5,153,10,30,.333,0,0,,10,30,.333,.333,1,2,.500,5,15,20,9,4,2,5,14,21,4.1,.340,.000,.067,3.5,10.8,7.1,8.6,1.4,0.9,13.9,10.5,,-0.2,0.1,-0.1,-0.035,,-5.6,0.0,-5.6,-0.1
Chris Childs,PG,33,TOT,77,5,1859,135,335,.403,32,106,.302,103,229,.450,.451,60,71,.845,24,178,202,355,59,15,156,242,362,9.0,.494,.316,.212,1.5,11.2,6.4,29.8,1.7,0.6,29.9,13.3,,-0.2,2.3,2.2,.057,,-3.4,0.8,-2.6,-0.3
Doug Christie,SG,30,SAC,81,81,2939,311,788,.395,94,250,.376,217,538,.403,.454,280,312,.897,95,260,355,289,183,45,154,224,996,14.8,.538,.317,.396,3.6,9.3,6.5,14.6,3.2,1.0,14.3,16.2,,4.3,4.4,8.7,.141,,0.0,2.3,2.3,3.2
Keon Clark,PF,25,TOT,81,3,1720,249,519,.480,0,1,.000,249,518,.481,.480,142,240,.592,136,298,434,72,32,154,90,244,640,15.6,.512,.002,.462,8.6,19.6,14.0,6.8,1.0,6.3,12.6,18.6,,1.5,2.2,3.7,.104,,-2.1,1.0,-1.1,0.4
Mateen Cleaves,PG,23,DET,78,8,1268,160,400,.400,5,17,.294,155,383,.405,.406,97,137,.708,26,106,132,207,49,1,139,153,422,9.0,.458,.043,.343,2.2,9.1,5.6,26.8,2.0,0.1,23.2,20.5,,-1.3,1.2,-0.1,-0.006,,-4.5,-0.7,-5.2,-1.0
John Coker,C,29,GSW,6,0,32,1,8,.125,0,0,,1,8,.125,.125,0,0,,3,2,5,2,1,0,2,4,2,-2.8,.125,.000,.000,9.2,7.2,8.3,8.8,1.6,0.0,20.0,13.2,,-0.1,0.0,-0.1,-0.192,,-8.8,-4.0,-12.9,-0.1
Derrick Coleman,PF,33,CHH,34,3,683,97,255,.380,20,51,.392,77,204,.377,.420,63,92,.685,46,138,184,39,10,21,42,53,277,13.8,.469,.200,.361,7.7,23.0,15.4,10.2,0.8,2.3,12.4,22.8,,0.1,1.1,1.2,.082,,-0.5,-0.5,-0.9,0.2
Bimbo Coles,PG,32,CLE,47,0,804,91,239,.381,2,16,.125,89,223,.399,.385,48,56,.857,9,39,48,138,27,6,59,87,232,9.3,.440,.067,.234,1.3,5.6,3.5,27.9,1.8,0.5,18.3,18.1,,-0.3,0.3,0.0,.000,,-3.3,-1.5,-4.8,-0.6
Jason Collier,C,23,HOU,23,0,222,27,71,.380,0,1,.000,27,70,.386,.380,17,24,.708,12,25,37,6,2,3,11,27,71,7.4,.435,.014,.338,6.4,12.7,9.6,4.4,0.5,0.9,11.9,19.2,,-0.1,0.1,0.0,-0.001,,-4.5,-2.0,-6.5,-0.2
Sean Colson,PG,25,TOT,13,0,44,6,24,.250,1,5,.200,5,19,.263,.271,2,4,.500,2,4,6,10,1,0,2,6,15,6.8,.291,.208,.167,5.4,10.2,7.7,38.7,1.2,0.0,7.2,28.8,,-0.1,0.0,-0.1,-0.106,,-5.7,-3.2,-8.9,-0.1
Tyrone Corbin,SF,38,TOR,15,1,117,9,38,.237,0,5,.000,9,33,.273,.237,2,4,.500,3,10,13,4,2,0,3,18,20,-2.2,.252,.132,.105,2.8,9.9,6.3,5.0,0.9,0.0,7.0,16.3,,-0.4,0.1,-0.3,-0.126,,-9.8,-3.1,-12.9,-0.3
Chris Crawford,PF,25,ATL,47,22,901,122,270,.452,6,22,.273,116,248,.468,.463,68,83,.819,28,82,110,37,21,16,62,117,318,9.5,.519,.081,.307,3.4,10.2,6.8,6.9,1.2,1.3,16.8,18.3,,0.1,0.5,0.6,.031,,-3.5,-0.9,-4.5,-0.6
Jamal Crawford,PG,20,CHI,61,8,1050,107,304,.352,41,117,.350,66,187,.353,.419,27,34,.794,9,80,89,141,43,14,85,68,282,8.5,.442,.385,.112,1.0,9.4,5.0,23.0,2.2,1.0,21.0,17.9,,-1.3,0.4,-0.9,-0.043,,-2.9,-1.5,-4.4,-0.6
Austin Croshere,PF,25,IND,81,23,1874,276,701,.394,70,207,.338,206,494,.417,.444,200,231,.866,123,264,387,92,36,50,136,180,822,14.3,.512,.295,.330,7.7,15.5,11.7,8.8,1.0,1.9,14.5,23.4,,1.2,2.0,3.2,.082,,-0.1,-1.0,-1.2,0.4
John Crotty,PG,31,UTA,31,0,264,22,65,.338,4,7,.571,18,58,.310,.369,17,19,.895,13,15,28,34,6,0,19,32,65,7.2,.443,.108,.292,6.2,6.9,6.6,19.4,1.2,0.0,20.6,16.1,,0.0,0.1,0.1,.019,,-3.3,-1.8,-5.2,-0.2
Vonteego Cummings,PG,24,GSW,66,11,1495,178,517,.344,48,143,.336,130,374,.348,.391,79,116,.681,47,90,137,227,67,14,91,160,483,10.4,.425,.277,.224,3.1,7.0,4.9,24.4,2.3,0.7,13.8,18.6,,-0.2,0.4,0.2,.007,,-2.6,-0.8,-3.4,-0.5
Bill Curley,PF,28,TOT,20,2,192,25,47,.532,1,2,.500,24,45,.533,.543,12,19,.632,21,16,37,3,7,9,16,45,63,10.5,.569,.043,.404,10.7,9.6,10.2,2.6,1.9,3.3,22.4,15.8,,0.0,0.1,0.2,.038,,-5.0,-0.2,-5.2,-0.2
Dell Curry,SG,36,TOR,71,1,956,162,382,.424,62,145,.428,100,237,.422,.505,43,51,.843,16,69,85,75,27,8,39,66,429,14.4,.530,.380,.134,1.8,8.3,5.0,13.2,1.5,0.6,8.8,20.7,,1.5,0.5,2.0,.101,,1.2,-0.8,0.3,0.6
Michael Curry,SG,32,DET,68,58,1485,145,319,.455,4,9,.444,141,310,.455,.461,62,73,.849,21,100,121,132,27,3,61,173,356,7.5,.507,.028,.229,1.5,7.4,4.4,13.9,0.9,0.1,14.8,12.0,,0.8,0.9,1.7,.055,,-4.2,0.0,-4.3,-0.9
