Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48, ,OBPM,DBPM,BPM,VORP
Mahmoud Abdul-Rauf,PG,31,VAN,41,0,486,120,246,.488,4,14,.286,116,232,.500,.496,22,29,.759,5,20,25,76,9,1,26,50,266,16.7,.514,.057,.118,1.2,4.7,2.9,32.7,1.0,0.1,9.1,26.8,,0.7,0.0,0.7,.070,,1.1,-2.1,-1.0,0.1
Tariq Abdul-Wahad,SG,26,DEN,29,12,420,43,111,.387,4,10,.400,39,101,.386,.405,21,36,.583,14,45,59,22,14,13,34,54,111,5.8,.438,.090,.324,3.6,11.8,7.6,8.1,1.7,2.1,21.1,17.1,,-0.7,0.3,-0.4,-0.049,,-5.6,-0.3,-5.8,-0.4
Shareef Abdur-Rahim,SF,24,VAN,81,81,3241,604,1280,.472,12,64,.188,592,1216,.487,.477,443,531,.834,175,560,735,250,90,77,231,238,1663,19.1,.549,.050,.415,6.2,19.6,13.0,14.3,1.5,1.6,13.2,24.6,,5.6,2.9,8.5,.126,,1.7,0.1,1.8,3.1
Cory Alexander,PG,27,ORL,26,0,227,18,56,.321,4,16,.250,14,40,.350,.357,12,18,.667,0,25,25,36,16,0,25,29,52,6.3,.407,.286,.321,0.0,12.5,6.1,23.5,3.6,0.0,28.1,17.3,,-0.5,0.3,-0.1,-0.031,,-7.2,1.2,-6.0,-0.2
Courtney Alexander,PG,23,TOT,65,24,1382,239,573,.417,17,46,.370,222,527,.421,.432,123,150,.820,42,101,143,62,45,5,75,139,618,11.6,.484,.080,.262,3.5,8.4,5.9,8.0,1.7,0.3,10.5,23.2,,0.3,0.5,0.8,.027,,-2.4,-1.9,-4.3,-0.8
Ray Allen,SG,25,MIL,82,82,3129,628,1309,.480,202,467,.433,426,842,.506,.557,348,392,.888,101,327,428,374,124,20,204,192,1806,22.9,.610,.357,.299,3.7,11.8,7.8,20.4,2.1,0.5,12.1,24.4,,11.5,2.2,13.7,.211,,5.7,-0.3,5.5,5.9
Rafer Alston,PG,24,MIL,37,2,288,30,84,.357,8,30,.267,22,54,.407,.405,9,13,.692,4,27,31,68,13,0,20,27,77,12.1,.429,.357,.155,1.6,10.6,6.1,34.6,2.4,0.0,18.2,17.2,,0.1,0.2,0.3,.055,,-1.6,-0.5,-2.1,0.0
John Amaechi,C,30,ORL,82,36,1710,237,592,.400,0,7,.000,237,585,.405,.400,176,279,.631,77,191,268,74,28,29,124,175,650,8.7,.455,.012,.471,4.9,12.7,8.7,7.0,0.8,1.2,14.8,21.7,,-1.3,1.4,0.0,.001,,-4.3,-1.8,-6.1,-1.7
Derek Anderson,SG,26,SAS,82,82,2859,413,993,.416,101,253,.399,312,740,.422,.467,342,402,.851,75,288,363,301,120,14,165,188,1269,17.1,.542,.255,.405,3.1,10.9,7.2,18.1,2.2,0.3,12.4,21.9,,5.6,4.3,9.9,.166,,1.2,1.2,2.4,3.2
Kenny Anderson,PG,30,BOS,33,28,849,88,227,.388,11,33,.333,77,194,.397,.412,59,71,.831,16,57,73,134,44,2,52,62,246,12.2,.476,.145,.313,2.1,8.2,5.0,26.5,2.7,0.2,16.8,16.6,,0.4,0.7,1.1,.063,,-1.9,-0.1,-2.0,0.0
Nick Anderson,SG,33,SAC,21,0,169,14,57,.246,10,39,.256,4,18,.222,.333,0,0,,3,22,25,13,10,4,7,13,38,6.4,.333,.684,.000,2.0,13.7,8.0,11.0,3.0,1.6,10.9,16.7,,-0.3,0.3,0.0,-0.011,,-4.6,1.4,-3.2,-0.1
Shandon Anderson,SG,27,HOU,82,82,2396,263,590,.446,46,170,.271,217,420,.517,.485,138,188,.734,72,261,333,189,82,40,131,202,710,11.9,.528,.288,.319,3.6,12.3,8.0,12.5,1.8,1.2,16.3,15.4,,1.9,2.0,3.9,.078,,-1.1,0.7,-0.4,0.9
Greg Anthony,PG,33,POR,58,0,856,97,253,.383,65,159,.409,32,94,.340,.512,23,35,.657,21,40,61,82,40,3,43,63,282,12.0,.525,.628,.138,3.0,5.4,4.3,14.8,2.5,0.3,13.8,16.9,,0.9,0.7,1.6,.090,,0.0,0.1,0.1,0.5
Darrell Armstrong,PG,32,ORL,75,75,2767,413,1002,.412,143,403,.355,270,599,.451,.484,220,249,.884,94,249,343,524,135,13,200,155,1189,18.6,.535,.402,.249,3.7,10.2,6.9,31.3,2.5,0.3,15.2,21.0,,5.8,2.9,8.7,.151,,3.2,0.1,3.3,3.6
Chucky Atkins,PG,26,DET,81,75,2363,380,952,.399,121,339,.357,259,613,.423,.463,90,130,.692,28,145,173,330,67,5,149,184,971,12.2,.481,.356,.137,1.2,6.7,3.9,24.3,1.4,0.1,12.9,21.2,,1.2,1.6,2.8,.057,,-0.6,-1.0,-1.6,0.3
Stacey Augmon,SG,32,POR,66,23,1182,127,266,.477,0,4,.000,127,262,.485,.477,57,87,.655,60,99,159,98,48,21,48,105,311,12.3,.511,.015,.327,6.3,9.7,8.0,12.7,2.2,1.3,13.6,13.9,,1.3,1.2,2.5,.102,,-1.1,1.3,0.2,0.7
Isaac Austin,C,31,VAN,52,16,845,96,270,.356,6,24,.250,90,246,.366,.367,28,40,.700,50,172,222,58,20,23,54,94,226,8.3,.393,.089,.148,6.8,23.1,15.0,11.2,1.2,1.9,15.8,18.5,,-1.3,0.9,-0.5,-0.026,,-4.4,0.1,-4.3,-0.5
William Avery,PG,21,MIN,55,0,463,55,144,.382,16,59,.271,39,85,.459,.438,28,36,.778,5,24,29,75,13,4,45,48,154,9.0,.482,.410,.250,1.2,6.0,3.6,24.0,1.5,0.6,22.0,20.0,,-0.2,0.2,0.0,-0.003,,-2.6,-2.0,-4.6,-0.3
Dalibor Bagarić,C,20,CHI,35,0,259,17,65,.262,0,1,.000,17,64,.266,.262,13,28,.464,22,34,56,10,9,16,21,44,47,3.3,.304,.015,.431,9.7,16.2,12.8,6.2,1.9,4.6,21.4,17.6,,-0.9,0.2,-0.7,-0.121,,-8.9,-1.2,-10.0,-0.5
Vin Baker,PF,29,SEA,76,27,2129,347,822,.422,1,16,.063,346,806,.429,.423,232,321,.723,179,251,430,90,38,73,158,264,927,13.0,.481,.019,.391,9.7,13.5,11.6,7.0,0.9,2.5,14.1,23.8,,0.6,1.2,1.8,.040,,-2.4,-1.8,-4.2,-1.2
Erick Barkley,PG,22,POR,8,0,38,8,22,.364,3,8,.375,5,14,.357,.432,0,0,,0,3,3,6,2,0,5,2,19,10.3,.432,.364,.000,0.0,9.1,4.7,28.8,2.8,0.0,18.5,33.0,,-0.1,0.0,-0.1,-0.075,,-4.6,-3.2,-7.7,-0.1
Dana Barros,PG,33,DET,60,0,1079,183,412,.444,44,105,.419,139,307,.453,.498,68,80,.850,6,88,94,110,30,2,60,63,478,14.3,.534,.255,.194,0.6,8.9,4.7,18.0,1.4,0.1,11.8,20.4,,1.4,0.8,2.3,.101,,0.1,-0.4,-0.3,0.5
Brent Barry,SG,29,SEA,67,20,1778,198,401,.494,109,229,.476,89,172,.517,.630,84,103,.816,33,178,211,225,80,14,86,126,589,16.6,.660,.571,.257,2.1,11.4,6.8,19.4,2.4,0.6,16.2,13.5,,4.6,1.2,5.8,.157,,2.3,0.9,3.3,2.4
Jon Barry,SG,31,SAC,62,2,1010,103,255,.404,46,132,.348,57,123,.463,.494,64,73,.877,16,78,94,130,28,6,53,66,316,12.4,.550,.518,.286,1.8,8.1,5.0,19.0,1.4,0.4,15.6,14.9,,1.5,0.9,2.4,.114,,-0.1,0.1,0.1,0.5
Tony Battie,C,24,BOS,40,25,845,108,201,.537,0,3,.000,108,198,.545,.537,44,69,.638,73,160,233,16,27,60,37,126,260,15.2,.562,.015,.343,9.7,23.1,16.1,3.3,1.7,5.4,13.8,14.4,,1.0,1.3,2.3,.131,,-1.7,1.0,-0.7,0.3
Raja Bell,SG,24,PHI,5,0,30,2,7,.286,1,3,.333,1,4,.250,.357,0,0,,0,1,1,0,1,0,2,1,5,-0.6,.357,.429,.000,0.0,3.7,1.9,0.0,1.8,0.0,22.2,13.6,,-0.1,0.0,-0.1,-0.091,,-7.2,-2.2,-9.4,-0.1
Jonathan Bender,SF,20,IND,59,7,574,66,186,.355,11,41,.268,55,145,.379,.384,50,68,.735,14,60,74,32,7,28,42,73,193,7.6,.447,.220,.366,2.9,11.5,7.3,9.4,0.7,3.5,16.3,21.0,,-0.7,0.5,-0.1,-0.012,,-4.4,-0.3,-4.7,-0.4
Corey Benjamin,PG,22,CHI,65,5,857,115,302,.381,21,81,.259,94,221,.425,.416,56,83,.675,38,62,100,69,28,16,63,128,307,8.8,.453,.268,.275,5.1,8.9,6.9,14.6,1.8,1.4,15.7,21.8,,-0.8,0.3,-0.5,-0.028,,-3.5,-1.6,-5.1,-0.7
David Benoit,SF,32,UTA,49,2,446,71,147,.483,5,13,.385,66,134,.493,.500,31,39,.795,20,61,81,22,6,6,28,75,178,11.1,.542,.088,.265,5.7,16.6,11.3,8.4,0.7,1.1,14.6,19.8,,0.4,0.4,0.7,.080,,-2.8,-1.2,-4.0,-0.2
Travis Best,PG,28,IND,77,21,2457,347,788,.440,37,97,.381,310,691,.449,.464,187,226,.827,38,184,222,473,110,11,127,246,918,16.7,.517,.123,.287,1.8,8.2,5.1,34.0,2.4,0.3,12.5,19.3,,4.8,2.3,7.2,.140,,0.8,0.6,1.4,2.1
Mike Bibby,PG,22,VAN,82,82,3190,525,1157,.454,108,285,.379,417,872,.478,.500,143,188,.761,47,257,304,685,107,12,248,148,1301,16.8,.525,.246,.162,1.7,9.2,5.5,38.3,1.8,0.3,16.7,21.3,,4.0,1.4,5.3,.081,,2.0,-1.2,0.7,2.2
Chauncey Billups,SG,24,MIN,77,33,1790,248,587,.422,73,194,.376,175,393,.445,.485,144,171,.842,32,126,158,260,51,11,111,178,713,14.1,.538,.330,.291,2.0,8.1,5.0,22.2,1.5,0.4,14.4,19.5,,2.7,0.9,3.7,.098,,0.4,-0.9,-0.5,0.7
Mookie Blaylock,PG,33,GSW,69,59,2352,317,801,.396,73,225,.324,244,576,.424,.441,53,76,.697,71,201,272,462,163,20,128,134,760,15.8,.455,.281,.095,3.0,9.9,6.1,32.3,3.5,0.6,13.3,17.3,,1.9,1.6,3.5,.071,,0.2,1.0,1.2,1.9
Corie Blount,PF,32,TOT,68,6,1305,130,294,.442,2,8,.250,128,286,.448,.446,51,83,.614,181,219,400,59,42,22,73,165,313,11.8,.473,.027,.282,13.9,19.4,16.5,7.1,1.6,1.2,18.1,13.2,,0.5,1.2,1.8,.065,,-2.6,-0.9,-3.5,-0.5
Mark Blount,C,25,BOS,64,50,1098,101,200,.505,0,0,,101,200,.505,.505,46,66,.697,97,134,231,32,39,76,62,183,248,11.1,.541,.000,.330,9.9,14.9,12.3,4.8,1.8,5.3,21.3,12.0,,0.5,1.4,1.9,.084,,-4.2,1.1,-3.1,-0.3
Muggsy Bogues,PG,36,TOR,3,0,34,0,2,.000,0,1,.000,0,1,.000,.000,0,0,,0,3,3,5,2,0,4,3,0,-0.5,.000,.500,.000,0.0,10.2,5.0,19.3,3.1,0.0,66.7,7.9,,-0.1,0.0,-0.1,-0.128,,-8.9,1.7,-7.2,0.0
Etdrick Bohannon,PF,27,CLE,6,0,19,2,4,.500,0,0,,2,4,.500,.500,4,4,1.000,3,4,7,0,0,2,1,4,8,22.4,.694,.000,1.000,18.3,24.3,21.3,0.0,0.0,7.7,14.8,16.1,,0.1,0.0,0.1,.276,,1.0,0.7,1.7,0.0
Calvin Booth,C,24,TOT,55,29,933,120,252,.476,0,0,,120,252,.476,.476,53,78,.679,77,169,246,42,29,111,53,146,293,16.1,.512,.000,.310,9.5,21.1,15.2,7.4,1.6,8.5,15.6,16.3,,0.6,1.4,2.1,.106,,-1.9,2.7,0.7,0.6
Cal Bowdler,SF,23,ATL,44,0,375,53,114,.465,1,5,.200,52,109,.477,.469,33,40,.825,30,47,77,4,10,21,11,45,140,15.8,.532,.044,.351,8.9,14.1,11.4,1.8,1.4,4.0,7.7,17.0,,0.7,0.4,1.0,.134,,-0.6,-0.3,-0.9,0.1
Bruce Bowen,SF,29,MIA,82,72,2685,211,581,.363,103,307,.336,108,274,.394,.452,98,161,.609,45,200,245,132,83,53,74,269,623,8.1,.478,.528,.277,2.0,8.8,5.4,8.2,1.7,1.5,10.2,13.1,,0.5,3.7,4.2,.075,,-2.6,1.5,-1.1,0.6
Ryan Bowen,SF,25,DEN,57,0,696,80,144,.556,4,11,.364,76,133,.571,.569,27,44,.614,62,51,113,30,37,12,24,95,191,13.3,.585,.076,.306,9.6,8.1,8.8,6.8,2.8,1.2,12.8,12.0,,1.2,0.4,1.7,.114,,-1.1,1.3,0.1,0.4
Ira Bowman,PG,27,ATL,3,0,19,0,2,.000,0,0,,0,2,.000,.000,0,0,,1,1,2,7,0,0,1,0,0,9.2,.000,.000,.000,5.8,5.9,5.9,50.5,0.0,0.0,33.3,7.1,,0.0,0.0,0.0,-0.024,,0.0,-1.7,-1.7,0.0
